taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID
urn:lsid:marinespecies.org:taxname:175	urn:lsid:marinespecies.org:taxname:175	urn:lsid:marinespecies.org:taxname:175	urn:lsid:marinespecies.org:taxname:246152		Onchidorididae	Onchidorididae	Onchidoridoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae					Family	Gray, 1827	ICZN	accepted		2010-10-16	MolluscaBase eds. (2023). MolluscaBase. Onchidorididae Gray, 1827. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=175	https://www.marinespecies.org/aphia.php?p=taxdetails&id=175					
urn:lsid:marinespecies.org:taxname:177	urn:lsid:marinespecies.org:taxname:177	urn:lsid:marinespecies.org:taxname:177	urn:lsid:marinespecies.org:taxname:412569		Polyceridae	Polyceridae	Polyceroidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Polyceridae					Family	Alder & Hancock, 1845	ICZN	accepted		2011-03-22	MolluscaBase eds. (2023). MolluscaBase. Polyceridae Alder & Hancock, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177	https://www.marinespecies.org/aphia.php?p=taxdetails&id=177					
urn:lsid:marinespecies.org:taxname:180	urn:lsid:marinespecies.org:taxname:180	urn:lsid:marinespecies.org:taxname:9904	urn:lsid:marinespecies.org:taxname:173		Archidorididae	Dorididae	Doridoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Archidorididae					Family	Bergh, 1891	ICZN	unaccepted		2010-12-02	MolluscaBase eds. (2023). MolluscaBase. Archidorididae Bergh, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=180	https://www.marinespecies.org/aphia.php?p=taxdetails&id=180					
urn:lsid:marinespecies.org:taxname:181	urn:lsid:marinespecies.org:taxname:181	urn:lsid:marinespecies.org:taxname:1761	urn:lsid:marinespecies.org:taxname:173		Kentrodorididae	Discodorididae	Doridoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Kentrodorididae					Family	Bergh, 1891	ICZN	unaccepted		2010-10-16	MolluscaBase eds. (2023). MolluscaBase. Kentrodorididae Bergh, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=181	https://www.marinespecies.org/aphia.php?p=taxdetails&id=181					
urn:lsid:marinespecies.org:taxname:182	urn:lsid:marinespecies.org:taxname:182	urn:lsid:marinespecies.org:taxname:182	urn:lsid:marinespecies.org:taxname:827889		Dendronotoidea	Dendronotoidea	Cladobranchia			Animalia	Mollusca	Gastropoda	Nudibranchia						Superfamily	Allman, 1845	ICZN	accepted		2017-12-24	MolluscaBase eds. (2023). MolluscaBase. Dendronotoidea Allman, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=182	https://www.marinespecies.org/aphia.php?p=taxdetails&id=182					
urn:lsid:marinespecies.org:taxname:183	urn:lsid:marinespecies.org:taxname:183	urn:lsid:marinespecies.org:taxname:183	urn:lsid:marinespecies.org:taxname:412595		Tritoniidae	Tritoniidae	Tritonioidea	Lamarck J.-B. (M. de) (1809). Philosophie zoologique. <i>Paris 2 vol. pp. 422  pp. 473</i>: 	1809	Animalia	Mollusca	Gastropoda	Nudibranchia	Tritoniidae					Family	Lamarck, 1809	ICZN	accepted		2010-10-16	MolluscaBase eds. (2023). MolluscaBase. Tritoniidae Lamarck, 1809. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=183	https://www.marinespecies.org/aphia.php?p=taxdetails&id=183					
urn:lsid:marinespecies.org:taxname:184	urn:lsid:marinespecies.org:taxname:184	urn:lsid:marinespecies.org:taxname:184	urn:lsid:marinespecies.org:taxname:182		Lomanotidae	Lomanotidae	Dendronotoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Lomanotidae					Family	Bergh, 1890	ICZN	accepted		2018-01-02	MolluscaBase eds. (2023). MolluscaBase. Lomanotidae Bergh, 1890. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=184	https://www.marinespecies.org/aphia.php?p=taxdetails&id=184					
urn:lsid:marinespecies.org:taxname:186	urn:lsid:marinespecies.org:taxname:186	urn:lsid:marinespecies.org:taxname:186	urn:lsid:marinespecies.org:taxname:182		Dendronotidae	Dendronotidae	Dendronotoidea	Allman G.J. (1845). On the anatomy of <i>Actaeon</i>, with remarks on the order Phlebenterata of M. de Quatrefages. <em>Annals and Magazine of Natural History.</em> ser. 1, 16: 145–162.	1845	Animalia	Mollusca	Gastropoda	Nudibranchia	Dendronotidae					Family	Allman, 1845	ICZN	accepted		2017-10-31	MolluscaBase eds. (2023). MolluscaBase. Dendronotidae Allman, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=186	https://www.marinespecies.org/aphia.php?p=taxdetails&id=186					
urn:lsid:marinespecies.org:taxname:187	urn:lsid:marinespecies.org:taxname:187	urn:lsid:marinespecies.org:taxname:187	urn:lsid:marinespecies.org:taxname:182		Dotidae	Dotidae	Dendronotoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Dotidae					Family	Gray, 1853	ICZN	accepted		2017-10-31	MolluscaBase eds. (2023). MolluscaBase. Dotidae Gray, 1853. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=187	https://www.marinespecies.org/aphia.php?p=taxdetails&id=187					
urn:lsid:marinespecies.org:taxname:189	urn:lsid:marinespecies.org:taxname:189	urn:lsid:marinespecies.org:taxname:189	urn:lsid:marinespecies.org:taxname:827889		Aeolidioidea	Aeolidioidea	Cladobranchia			Animalia	Mollusca	Gastropoda	Nudibranchia						Superfamily	Gray, 1827	ICZN	accepted		2017-12-24	MolluscaBase eds. (2023). MolluscaBase. Aeolidioidea Gray, 1827. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=189	https://www.marinespecies.org/aphia.php?p=taxdetails&id=189					
